Canton,Poblacion de 15 anos y mas,Tasa neta de participacion,Tasa de ocupacion,Tasa de desempleo abierto,Porcentaje de poblacion economicamente inactiva,Relacion de dependencia economica,Porcentaje de poblacion ocupada - Sector Primario,Porcentaje de poblacion ocupada - Sector Secundario, Porcentaje de poblacion ocupada - Sector Terciario
San Jose,225856,56.7,54.5,3.9,43.3,1.2,0.7,18.9,80.4
Escazu,44797,60.7,58.9,3.0,39.3,1.1,2.5,16.7,80.7
Desamparados,159292,57.0,54.7,4.0,43.0,1.3,2.2,19.6,78.2
Puriscal,25774,50.7,49.1,3.1,49.3,1.5,15.8,14.4,69.8
Tarrazu,11800,51.2,49.7,2.8,48.8,1.7,41.2,10.4,48.4
Aserri,43396,54.5,52.7,3.2,45.5,1.4,7.3,19.0,73.8
Mora,20414,55.2,53.4,3.2,44.8,1.3,8.3,16.1,75.6
Goicoechea,90537,56.8,54.7,3.7,43.2,1.2,1.0,16.7,82.3
Santa Ana,38096,61.8,60.4,2.3,38.2,1.1,3.2,17.7,79.2
Alajuelita,56704,56.0,53.9,3.8,44.0,1.4,0.8,22.6,76.6
Vazquez de Coronado,47697,58.4,56.6,3.0,41.6,1.2,2.1,16.1,81.7
Acosta,15270,49.6,48.5,2.1,50.4,1.7,30.5,10.5,59.0
Tibas,52194,56.0,54.1,3.5,44.0,1.2,0.8,17.1,82.1
